# PcbXY Version 1.0
# Date: Sat 29 Jun 2013 11:13:34 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
D12,"SOT23_sr.fp","sr-d-gsot24c",1205.38,2757.87,90,top
D11,"SOT23_sr.fp","sr-d-gsot24c",1633.20,2757.87,270,top
DS9,"0805_split_led_sr.fp","sr-led-redblue-dual",633.86,2824.80,270,top
DS8,"0805_split_led_sr.fp","sr-led-redblue-dual",2200.79,2824.80,270,top
DS7,"0805_led_sr.fp","sr-led-redgreen-0805",1419.29,2149.61,0,top
R35,"0603_sr.fp","sr-r-10k",2047.24,2791.34,0,top
R21,"1206_sr.fp","sr-r-1k-1206",1240.16,2151.57,180,top
R53,"1206_sr.fp","sr-r-1k-1206",500.00,2801.18,180,top
R37,"1206_sr.fp","sr-r-1k-1206",2334.65,2801.18,0,top
J7,"camcon_50_2_sr.fp","sr-cn-camcon2w-5mm",901.57,2913.39,180,top
J6,"camcon_50_2_sr.fp","sr-cn-camcon2w-5mm",1933.07,2913.39,180,top
C39,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",629.92,1653.54,90,top
C37,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",1732.28,1653.54,90,top
Q2,"PQFN56B_sr.fp","sr-fet-n-irfh5301",1430.38,1982.68,90,top
TP17,"TP_sr.fp","sr-nothing",1456.69,1929.13,0,bottom
C32,"0603_sr.fp","sr-c-100n-0603-50v",1456.69,1828.74,0,top
C40,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",1102.36,1653.54,90,top
C38,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",2204.72,1653.54,90,top
C31,"0603_sr.fp","sr-c-100n-0603-50v",1417.32,2643.70,180,top
L11,"CM3440Z171B_sr.fp","sr-cm-20a-170r",1417.32,2405.51,180,top
J5,"camcon_75_2_sr.fp","sr-cn-camcon2w",1417.32,2913.39,180,top
U6,"MultiPowerSO30_sr.fp","sr-ic-vnh5019",787.40,2365.70,0,top
U5,"MultiPowerSO30_sr.fp","sr-ic-vnh5019",2047.24,2365.70,0,top
D10,"SOT23_sr.fp","sr-d-gsot05c",1044.62,663.39,270,top
J2,"header_254_8w_sr.fp","sr-cn-header2x4-std",1164.96,829.92,180,top
DS2,"0805_led_sr.fp","sr-led-red-0805",1645.67,2533.46,270,top
DS3,"0805_led_sr.fp","sr-led-blue-0805",1645.67,2322.83,270,top
DS4,"0805_led_sr.fp","sr-led-red-0805",1188.98,2533.46,270,top
DS5,"0805_led_sr.fp","sr-led-blue-0805",1188.98,2322.83,270,top
S1,"FSMRA2JH_sr.fp","sr-sw-button-ra",2240.16,1118.11,270,top
R13,"0402_sr.fp","sr-r-10k-0402",635.83,1389.76,180,top
R16,"0402_sr.fp","sr-r-10k-0402",1025.59,1145.67,90,top
TP15,"TP_sr.fp","sr-nothing",590.55,984.25,0,bottom
C28,"0402_sr.fp","sr-c-100n-0402-16v",986.22,1118.11,270,top
TP4,"TP_sr.fp","sr-nothing",1377.95,2204.72,0,bottom
U4,"LQFP64_10_sr.fp","sr-ic-stm32f100r6",704.72,1106.30,270,top
