RefDes, Description, Value, X, Y, rotation, top/bottom
D12,"SOT23_sr.fp","sr-d-gsot24c",30.62,70.05,90,top
D11,"SOT23_sr.fp","sr-d-gsot24c",41.48,70.05,270,top
DS9,"0805_split_led_sr.fp","sr-led-redblue-dual",16.10,71.75,270,top
DS8,"0805_split_led_sr.fp","sr-led-redblue-dual",55.90,71.75,270,top
DS7,"0805_led_sr.fp","sr-led-redgreen-0805",36.05,54.60,0,top
R35,"0603_sr.fp","sr-r-10k",52.00,70.90,0,top
R21,"1206_sr.fp","sr-r-1k-1206",31.50,54.65,180,top
R53,"1206_sr.fp","sr-r-1k-1206",12.70,71.15,180,top
R37,"1206_sr.fp","sr-r-1k-1206",59.30,71.15,0,top
J7,"camcon_50_2_sr.fp","sr-cn-camcon2w-5mm",22.90,74.00,180,top
J6,"camcon_50_2_sr.fp","sr-cn-camcon2w-5mm",49.10,74.00,180,top
C39,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",16.00,42.00,90,top
C37,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",44.00,42.00,90,top
Q2,"PQFN56B_sr.fp","sr-fet-n-irfh5301",36.33,50.36,90,top
TP17,"TP_sr.fp","sr-nothing",37.00,49.00,0,bottom
C32,"0603_sr.fp","sr-c-100n-0603-50v",37.00,46.45,0,top
C40,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",28.00,42.00,90,top
C38,"NICHICON_CAP_10_10_sr.fp","sr-c-pcf1c221mcl1gs",56.00,42.00,90,top
C31,"0603_sr.fp","sr-c-100n-0603-50v",36.00,67.15,180,top
L11,"CM3440Z171B_sr.fp","sr-cm-20a-170r",36.00,61.10,180,top
J5,"camcon_75_2_sr.fp","sr-cn-camcon2w",36.00,74.00,180,top
U6,"MultiPowerSO30_sr.fp","sr-ic-vnh5019",20.00,60.09,0,top
U5,"MultiPowerSO30_sr.fp","sr-ic-vnh5019",52.00,60.09,0,top
D10,"SOT23_sr.fp","sr-d-gsot05c",26.53,16.85,270,top
J2,"header_254_8w_sr.fp","sr-cn-header2x4-std",29.59,21.08,180,top
DS2,"0805_led_sr.fp","sr-led-red-0805",41.80,64.35,270,top
DS3,"0805_led_sr.fp","sr-led-blue-0805",41.80,59.00,270,top
DS4,"0805_led_sr.fp","sr-led-red-0805",30.20,64.35,270,top
DS5,"0805_led_sr.fp","sr-led-blue-0805",30.20,59.00,270,top
S1,"FSMRA2JH_sr.fp","sr-sw-button-ra",56.90,28.40,270,top
R13,"0402_sr.fp","sr-r-10k-0402",16.15,35.30,180,top
R16,"0402_sr.fp","sr-r-10k-0402",26.05,29.10,90,top
TP15,"TP_sr.fp","sr-nothing",15.00,25.00,0,bottom
C28,"0402_sr.fp","sr-c-100n-0402-16v",25.05,28.40,270,top
TP4,"TP_sr.fp","sr-nothing",35.00,56.00,0,bottom
U4,"LQFP64_10_sr.fp","sr-ic-stm32f100r6",17.90,28.10,270,top
J3,"camcon_38_4_sr.fp","sr-cn-minicamcon4w",26.00,14.00,0,top
TP5,"TP_sr.fp","sr-nothing",54.10,18.90,0,bottom
(unknown),"(unknown)","M3_mounting_hole",13.50,76.50,0,top
(unknown),"(unknown)","M3_mounting_hole",13.50,13.50,0,top
(unknown),"(unknown)","M3_mounting_hole",58.50,13.50,0,top
(unknown),"(unknown)","M3_mounting_hole",58.50,76.50,0,top
C35,"0603_sr.fp","sr-c-100n-0603-50v",25.80,48.95,0,top
C36,"1206_sr.fp","sr-c-10u-1206-16v",30.05,51.15,270,top
C33,"0603_sr.fp","sr-c-100n-0603-50v",57.80,48.95,0,top
C34,"1206_sr.fp","sr-c-10u-1206-16v",41.80,51.15,270,top
C48,"0603_sr.fp","sr-c-100n-0603-50v",24.00,70.90,0,top
R51,"0603_sr.fp","sr-r-10k",20.00,70.90,0,top
C44,"0603_sr.fp","sr-c-100n-0603-50v",48.00,70.90,0,top
D15,"SOT23_sr.fp","sr-d-bat754a",36.00,39.08,180,top
R58,"0402_sr.fp","sr-r-10k-0402",34.50,46.70,0,top
R59,"0402_sr.fp","sr-r-10k-0402",37.00,41.25,0,top
Q3,"SOT23_sr.fp","sr-npn-bc846b",36.00,44.08,180,top
R60,"0402_sr.fp","sr-r-10k-0402",35.00,41.25,0,top
U3,"QFN32_5_EP_sr.fp","sr-ic-ft232rq",54.85,20.50,180,top
C1,"0805_sr.fp","sr-c-4u7-0805-10v",59.85,17.95,180,top
C19,"0603_sr.fp","sr-c-47n-0603-50v",52.15,11.85,90,top
R9,"0402_sr.fp","sr-r-1000k-0402",52.15,14.35,270,top
C11,"0402_sr.fp","sr-c-100n-0402-16v",51.35,18.35,90,top
C7,"0402_sr.fp","sr-c-100n-0402-16v",59.10,22.95,0,top
C21,"0402_sr.fp","sr-c-100n-0402-16v",19.20,16.35,90,top
L6,"0402_sr.fp","sr-fb-200m-1k-0402",18.20,16.35,270,top
F1,"1206_sr.fp","sr-fuse-r50-1206",22.10,16.35,0,top
D2,"SOD123_sr.fp","sr-d-mmsz4689t1g",54.05,12.70,90,top
D1,"SOT23_sr.fp","sr-d-bat754c",59.52,20.60,90,top
C13,"0402_sr.fp","sr-c-100n-0402-16v",35.70,10.85,0,top
C17,"0402_sr.fp","sr-c-10n-0402-25v",49.90,17.90,0,top
Q1,"SOT23_sr.fp","sr-npn-bc846b",59.62,34.05,90,top
C26,"0603_sr.fp","sr-c-470n-0603-25v",57.45,34.15,270,top
TP38,"TP_sr.fp","sr-nothing",25.00,77.00,0,bottom
TP28,"TP_sr.fp","sr-nothing",51.00,77.00,0,bottom
TP37,"TP_sr.fp","sr-nothing",21.00,77.00,0,bottom
TP27,"TP_sr.fp","sr-nothing",47.00,77.00,0,bottom
TP36,"TP_sr.fp","sr-nothing",29.00,34.00,0,bottom
TP35,"TP_sr.fp","sr-nothing",21.00,30.00,0,bottom
TP34,"TP_sr.fp","sr-nothing",28.00,32.00,0,bottom
TP33,"TP_sr.fp","sr-nothing",16.00,35.00,0,bottom
TP32,"TP_sr.fp","sr-nothing",41.00,33.00,0,bottom
TP31,"TP_sr.fp","sr-nothing",13.50,32.00,0,bottom
TP30,"TP_sr.fp","sr-nothing",14.00,29.00,0,bottom
TP29,"TP_sr.fp","sr-nothing",12.00,29.00,0,bottom
TP26,"TP_sr.fp","sr-nothing",36.00,31.00,0,bottom
TP25,"TP_sr.fp","sr-nothing",19.00,30.00,0,bottom
TP24,"TP_sr.fp","sr-nothing",18.00,28.00,0,bottom
TP23,"TP_sr.fp","sr-nothing",33.00,29.00,0,bottom
TP22,"TP_sr.fp","sr-nothing",41.00,24.00,0,bottom
TP21,"TP_sr.fp","sr-nothing",40.00,28.00,0,bottom
TP20,"TP_sr.fp","sr-nothing",25.00,27.00,0,bottom
TP19,"TP_sr.fp","sr-nothing",19.25,26.05,0,bottom
TP18,"TP_sr.fp","sr-nothing",33.00,31.00,0,bottom
